Entity,Code,Year,Electricity from wind (TWh),Electricity from hydro (TWh),Electricity from solar (TWh),Other renewables including bioenergy (TWh)
Colombia,COL,1965,0,3.5439494,0,0
Colombia,COL,1966,0,3.9372194,0,0
Colombia,COL,1967,0,4.3892536,0,0
Colombia,COL,1968,0,4.8910117,0,0
Colombia,COL,1969,0,5.4379735,0,0
Colombia,COL,1970,0,6.05274,0,0
Colombia,COL,1971,0,6.4234085,0,0
Colombia,COL,1972,0,7.115021,0,0
Colombia,COL,1973,0,7.7433486,0,0
Colombia,COL,1974,0,8.7920685,0,0
Colombia,COL,1975,0,9.7323,0,0.189
Colombia,COL,1976,0,10.22642,0,0.202
Colombia,COL,1977,0,10.451812,0,0.192
Colombia,COL,1978,0,12.07144,0,0.206
Colombia,COL,1979,0,13.2593,0,0.216
Colombia,COL,1980,0,14.44702,0,0.227
Colombia,COL,1981,0,14.26534,0,0.212
Colombia,COL,1982,0,15.238536,0,0.231
Colombia,COL,1983,0,15.365776,0,0.234
Colombia,COL,1984,0,17.14022,0,0.255
Colombia,COL,1985,0,18.440771,0,0.267
Colombia,COL,1986,0,21.332952,0,0.266
Colombia,COL,1987,0,23.24756,0,0.268
Colombia,COL,1988,0,24.5194,0,0.274
Colombia,COL,1989,0,26.78212,0,0.274
Colombia,COL,1990,0,27.495852,0,0.274
Colombia,COL,1991,0,27.72608,0,0.269
Colombia,COL,1992,0,22.280584,0,0.34
Colombia,COL,1993,0,27.856392,0,0.389
Colombia,COL,1994,0,32.05839,0,0.444
Colombia,COL,1995,0,31.9894,0,0.477
Colombia,COL,1996,0,35.287624,0,0.496
Colombia,COL,1997,0,31.47576,0,0.483
Colombia,COL,1998,0,30.781685,0,0.532
Colombia,COL,1999,0,33.700657,0,0.457
Colombia,COL,2000,0,31.75,0.01,0.18
Colombia,COL,2001,0,31.48,0.01,0.18
Colombia,COL,2002,0,33.63,0.01,0.17
Colombia,COL,2003,0,35.81,0.01,0.16
Colombia,COL,2004,0.05,39.68,0.01,0.15
Colombia,COL,2005,0.05,39.4,0.01,0.16
Colombia,COL,2006,0.06,42.31,0.01,0.2
Colombia,COL,2007,0.05,44,0.01,0.19
Colombia,COL,2008,0.05,45.94,0.01,0.17
Colombia,COL,2009,0.06,40.64,0.01,0.33
Colombia,COL,2010,0.04,40,0.01,0.55
Colombia,COL,2011,0.04,48.39,0.01,0.37
Colombia,COL,2012,0.05,47.11,0.01,0.4
Colombia,COL,2013,0.06,49.76,0.01,0.65
Colombia,COL,2014,0.07,47.25,0.01,0.73
Colombia,COL,2015,0.07,47.94,0.01,0.97
Colombia,COL,2016,0.05,48.46,0.01,1.01
Colombia,COL,2017,0,60.64,0.01,0.73
Colombia,COL,2018,0.04,59.16,0.02,0.84
Colombia,COL,2019,0.06,52.98,0.13,1.11
Colombia,COL,2020,0.01,48.44,0.19,1.3
Colombia,COL,2021,0.06,58.19,0.32,1.02
