Entity,Code,Year,Solar (% equivalent primary energy)
Colombia,COL,1965,0
Colombia,COL,1966,0
Colombia,COL,1967,0
Colombia,COL,1968,0
Colombia,COL,1969,0
Colombia,COL,1970,0
Colombia,COL,1971,0
Colombia,COL,1972,0
Colombia,COL,1973,0
Colombia,COL,1974,0
Colombia,COL,1975,0
Colombia,COL,1976,0
Colombia,COL,1977,0
Colombia,COL,1978,0
Colombia,COL,1979,0
Colombia,COL,1980,0
Colombia,COL,1981,0
Colombia,COL,1982,0
Colombia,COL,1983,0
Colombia,COL,1984,0
Colombia,COL,1985,0
Colombia,COL,1986,0
Colombia,COL,1987,0
Colombia,COL,1988,0
Colombia,COL,1989,0
Colombia,COL,1990,0
Colombia,COL,1991,0
Colombia,COL,1992,0
Colombia,COL,1993,0
Colombia,COL,1994,0
Colombia,COL,1995,0
Colombia,COL,1996,0
Colombia,COL,1997,0
Colombia,COL,1998,0
Colombia,COL,1999,0
Colombia,COL,2000,0.0017268311
Colombia,COL,2001,0.0025363106
Colombia,COL,2002,0.004408642
Colombia,COL,2003,0.0058253147
Colombia,COL,2004,0.007052876
Colombia,COL,2005,0.008377651
Colombia,COL,2006,0
Colombia,COL,2007,0
Colombia,COL,2008,0
Colombia,COL,2009,0
Colombia,COL,2010,0
Colombia,COL,2011,0
Colombia,COL,2012,0
Colombia,COL,2013,0
Colombia,COL,2014,0
Colombia,COL,2015,0
Colombia,COL,2016,0
Colombia,COL,2017,0.0026094727
Colombia,COL,2018,0.006106545
Colombia,COL,2019,0.0649473
Colombia,COL,2020,0.10406679
Colombia,COL,2021,0.15540227
